"TermSetName","TermSetDescription","LCID","AvailableForTagging","TermDescription","Level1","Level2","Level3","Level4","Level5","Level6","Level7"
"Products","","","TRUE","","","","","","","",""
"","","","TRUE","","Server Software","SharePoint","CMS 2001","","","",""
"","","","TRUE","","Operating Systems","Desktop OS","","","","",""
"","","","TRUE","","Desktop Systems","","","","","",""
"","","","TRUE","","Server Software","Exchange","","","","",""
"","","","TRUE","","Server Software","ForeFront TMG","","","","",""
"","","","TRUE","","Server Software","ForeFront UAG","","","","",""
"","","","TRUE","","Desktop Systems","Live Mesh","","","","",""
"","","","TRUE","","Server Software","Lync Server","","","","",""
"","","","TRUE","","Desktop Systems","Microsoft Office","","","","",""
"","","","TRUE","","Server Software","SharePoint","MOSS 2007","","","",""
"","","","TRUE","","Operating Systems","Server OS","NT 4.0 Server","","","",""
"","","","TRUE","","Operating Systems","Desktop OS","NT 4.0 Workstation","","","",""
"","","","TRUE","","Desktop Systems","Microsoft Office","Office 2000","","","",""
"","","","TRUE","","Desktop Systems","Microsoft Office","Office 2003","","","",""
"","","","TRUE","","Desktop Systems","Microsoft Office","Office 2007","","","",""
"","","","TRUE","","Desktop Systems","Microsoft Office","Office 2010","","","",""
"","","","TRUE","","Desktop Systems","Microsoft Office","Office 2013","","","",""
"","","","TRUE","","Desktop Systems","Microsoft Office","Office 2016","","","",""
"","","","TRUE","","Desktop Systems","Microsoft Office","Office XP","","","",""
"","","","TRUE","","Desktop Systems","OneDrive for Business","","","","",""
"","","","TRUE","","Desktop Systems","OneDrive for Win7","","","","",""
"","","","TRUE","","Operating Systems","","","","","",""
"","","","TRUE","","Operating Systems","Server OS","Server 2000","","","",""
"","","","TRUE","","Operating Systems","Server OS","Server 2003","","","",""
"","","","TRUE","","Operating Systems","Server OS","Server 2008","","","",""
"","","","TRUE","","Operating Systems","Server OS","Server 2008 R2","","","",""
"","","","TRUE","","Operating Systems","Server OS","Server 2012","","","",""
"","","","TRUE","","Operating Systems","Server OS","Server 2012 R2","","","",""
"","","","TRUE","","Operating Systems","Server OS","","","","",""
"","","","TRUE","","Server Software","","","","","",""
"","","","TRUE","","Server Software","SharePoint","","","","",""
"","","","TRUE","","Desktop Systems","Skype Desktop","","","","",""
"","","","TRUE","","Desktop Systems","Skype for Desktop","","","","",""
"","","","TRUE","","Server Software","SharePoint","SP 2010","","","",""
"","","","TRUE","","Server Software","SharePoint","SP 2013","","","",""
"","","","TRUE","","Server Software","SharePoint","SP 2016","","","",""
"","","","TRUE","","Server Software","SharePoint","SPS 2003","","","",""
"","","","TRUE","","Server Software","SQL","","","","",""
"","","","TRUE","","Desktop Systems","Visual Studio","","","","",""
"","","","TRUE","","Operating Systems","Desktop OS","Windows 10","","","",""
"","","","TRUE","","Operating Systems","Desktop OS","Windows 2000","","","",""
"","","","TRUE","","Operating Systems","Desktop OS","Windows 7","","","",""
"","","","TRUE","","Operating Systems","Desktop OS","Windows 8","","","",""
"","","","TRUE","","Operating Systems","Desktop OS","Windows 8.1","","","",""
"","","","TRUE","","Operating Systems","Desktop OS","Windows 95","","","",""
"","","","TRUE","","Operating Systems","Desktop OS","Windows 98","","","",""
"","","","TRUE","","Operating Systems","Desktop OS","Windows 98SE","","","",""
"","","","TRUE","","Operating Systems","Desktop OS","Windows ME","","","",""
"","","","TRUE","","Operating Systems","Desktop OS","Windows Vista","","","",""
"","","","TRUE","","Operating Systems","Desktop OS","Windows XP","","","",""
"","","","TRUE","","Server Software","SharePoint","WSS 2.0","","","",""
"","","","TRUE","","Server Software","SharePoint","WSS 3.0","","","",""
